Time,Tips,Hum%,TempC,voltMeasure(V),readVcc(mV),Event
2015-04-30T21:14:05,0,40.00,22.00,4.85,4850,Normal
2015-04-30T21:15:05,0,40.00,22.00,4.81,4850,Normal
2015-04-30T21:16:05,0,40.00,22.00,4.85,4850,Normal
2015-04-30T21:17:04,0,40.00,22.00,4.81,4850,Normal
2015-04-30T21:18:04,0,39.00,22.00,4.85,4850,Normal
2015-04-30T21:19:04,0,40.00,22.00,4.83,4850,Normal
2015-04-30T21:20:03,0,39.00,22.00,4.81,4850,Normal
2015-04-30T21:21:03,0,39.00,22.00,4.82,4850,Normal
2015-04-30T21:22:03,0,39.00,22.00,4.81,4850,Normal
2015-04-30T21:23:02,0,39.00,22.00,4.84,4850,Normal
2015-04-30T21:24:02,0,39.00,22.00,4.72,4850,Normal
2015-04-30T21:25:02,0,39.00,22.00,4.80,4850,Normal
2015-04-30T21:26:01,0,39.00,22.00,4.84,4850,Normal
2015-04-30T21:27:01,0,40.00,22.00,4.84,4850,Normal
2015-04-30T21:28:01,0,39.00,22.00,4.81,4850,Normal
2015-04-30T21:29:00,0,40.00,22.00,4.78,4850,Normal
2015-04-30T21:30:00,0,39.00,22.00,4.84,4850,Normal
2015-04-30T21:31:00,0,39.00,22.00,4.91,4850,Normal
2015-04-30T21:32:08,0,39.00,22.00,4.81,4850,Normal
2015-04-30T21:33:07,0,39.00,22.00,4.82,4850,Normal
2015-04-30T21:34:07,0,39.00,22.00,4.85,4850,Normal
2015-04-30T21:35:07,0,39.00,22.00,4.80,4850,Normal
2015-04-30T21:36:06,0,39.00,22.00,4.88,4850,Normal
2015-04-30T21:37:06,0,39.00,22.00,4.83,4850,Normal
2015-04-30T21:38:06,0,39.00,22.00,4.85,4850,Normal
2015-04-30T21:39:05,0,40.00,22.00,4.81,4850,Normal
2015-04-30T21:40:05,0,39.00,22.00,4.86,4850,Normal
2015-04-30T21:41:04,0,40.00,22.00,4.81,4850,Normal
2015-04-30T21:42:04,0,40.00,22.00,4.79,4850,Normal
2015-04-30T21:43:04,0,39.00,22.00,4.85,4850,Normal
2015-04-30T21:44:03,0,39.00,22.00,4.73,4850,Normal
2015-04-30T21:45:03,0,39.00,22.00,4.80,4850,Normal
2015-04-30T21:46:03,0,39.00,22.00,4.91,4850,Normal
2015-04-30T21:47:02,0,39.00,22.00,4.86,4850,Normal
2015-04-30T21:48:02,0,39.00,22.00,4.81,4850,Normal
2015-04-30T21:49:02,0,40.00,22.00,4.79,4850,Normal
2015-04-30T21:50:01,0,39.00,22.00,4.91,4850,Normal
2015-04-30T21:51:01,0,40.00,22.00,4.77,4850,Normal
2015-04-30T21:52:00,0,39.00,21.00,4.84,4850,Normal
2015-04-30T21:53:00,0,39.00,21.00,4.83,4850,Normal
